英,汉
deserves,v.值得；应受赏[罚]
dinner,n.宴会；主餐
plus,"prep.加；和；外加；也
conj.此外；而且；况且
n.加号；好处；优势；长处
adj.零上；余；零度以上；优点的"
oy,web.同校生；耦合电容器；欧雅
glasses,n.“glass”的复数
road,"n.道路；公路；途径；方法
v.(狗)闻着臭迹追"
stakes,"n.赌注；风险；(标)桩；竖管
v.用桩分开；赌；〈美口〉同“grubstake”；用桩撑持"
lied,n.利德（钢琴伴奏的德国独唱歌曲）
pussy,n.〈非正式〉猫咪；〈侮辱〉阴道；〈侮辱〉娘娘腔
ahh,web.啊；芳烃羟化酶(aryl hydrocarbon hydroxylase)；高容量血液稀释(Acute hypervolemic hemodilution)
krootabulans,
commitment,n.承诺；投入；保证；许诺
apologize,v.道歉；表示歉意；对不起；赔个不是
mere,"adj.只不过；仅仅的；只凭…就足以
n.小湖；池塘"
grabbed,"v.抓住；拿；攫取；吸引
n.猛然的抓取；突然的抢夺；抓取（或截获、采集）的图像；抓斗"
bienvenue,n.〈外〉受欢迎
aren,web.阿朗；阿伦韦斯卡省；雅伦
weekend,"n.周末；星期六和星期日；星期六和星期日（或略长一点的）休息时间
v.度周末
adj.周末的"
noticed,"v.注意；看到；提及；(在报刊等上)介绍
n.注意；通知；公告；认识"
joseph,n.约瑟；约瑟夫；讨厌女人的男子；十八世纪妇女骑马时穿的大氅
racist,"adj.种族主义的；种族歧视[隔离,迫害]的
n.种族主义者"
invisibility,n.看不见的；隐蔽性；隐形能力
bubble,"n.泡沫；气泡；肥皂泡；（欲表达的）一点感情
v.冒泡；起泡；（移动时）发出冒泡的声音；洋溢着（某种感情）"
head,"n.头；头部；头脑；负责人
v.主管；领导；朝（某方向）行进；位于排行之首
adj.头的；主要的"
himself,pron.自己；强调句中的男性主语或宾语
froopyland,
daylight,n.日光
hi,"int.〈非正式〉嗨
abbr.夏威夷群岛的书面缩写(=high intensity)高强度"
survived,v.在…之后还活着；经受得住；得免于(难)；经历(灾难后)还活着
injection,n.注射；大量资金的投入；（液体的）注入
true,"adj.符合事实的；确实的；如实的；真正的（而非表面上的）
adv.笔直地；不偏不斜地；直言相告；实话实说
v.配准；校准；整形"
doo,web.数字输出惟一(digital output only)；豆儿的故事；酷雷
charmed,"adj.着迷的；被施了魔法的；陶醉的；(蛇)养乖了的
v.“charm”的过去式和过去分词"
physicality,n.肉体性
made,"adj.…制的；拼成的；虚构的；体格…的
v.“make”的过去式和过去分词"
humbled,"adj.恭顺的；谦卑的；粗陋的；微末的
v.使丧失(威信等)；贬低；使谦卑"
yelp,"n.狗吠声；叫喊声
v.（因疼痛等）突然尖叫"
fries,"n.鱼苗；弗赖伊〔姓氏〕；油炸物；〔英国〕油炸杂碎
v.用油炸烤炒；〔美俚〕(使)被处电刑；瓦解"
flip,"n.浏览；空翻；轻抛；捻掷
v.迅速翻动；按（开关）；按（按钮）；开（或关）（机器等）
adj.〈美俚〉= flippant"
clips,"v.剪辑；修剪；削减；固定；剪短；剪取；轧(车票等)；〈美〉剪辑(报纸等)
n.夹；夹子；速度；钳；钳子；纸夹；曲别针；可别在衣服上的装饰物"
cruel,"adj.残酷的；冷酷的；残忍的；残暴的
adv.非常"
daddy,n.（尤作儿语）爸爸
ex,"n.前妻；前夫；以前的性伴侣
prep.不包括；除…之外"
kwanzaa,n.匡扎节（一些非裔美国人于 12 月 26 日至次年 1 月 1 日举行的节日）
proud,"adj.骄傲的；自豪的；得意的；满足的
adv.〈口〉同“proudly. do one proud”"
recognize,v.认识；承认；认出；意识到
an,art.一(件；个；场…)
bleached,"v.漂白
adj.漂白的"
girlfriend,n.女朋友；女友；(女性的)女性朋友；女伴
happen,"v.发生；出现；向对方表示异议或不悦等
linkv.碰巧；恰好"
rainbow,n.彩虹
floor,"n.地板；地面；楼层；底价
v.使惊奇；使困惑；（尤指体育运动中）击倒；给…安装地板"
idiot,n.白痴；蠢人；笨蛋
fixing,"n.固定；修理；【摄】定影；〈美〉设备
v.“fix”的现在分词"
whereas,conj.尽管；（用于正式文件中句子的开头）鉴于
hybrid,"n.杂种；杂种动物；杂交植物；（不同事物的）混合物
adj.杂种的；混合的；混合语的"
handed,"adj.惯用…手的；有…手的；有…人参加的
v.“hand”的过去式和过去分词"
reality,n.现实；事实；实际情况；实际经历
bragging,"v.吹嘘；自吹自擂
adj.第一流的；极好的；〈罕〉活泼的
n.勃莱格牌戏（简化的扑克牌戏）"
doy,web.东营；东营机场；还是小心一点好
spectators,"n.旁观者；(看比赛等的)观众；〈美〉女运动鞋
adj.能吸引观众的；观看用的；运动用的；华美的"
polite,adj.有礼貌的；客气的；儒雅的；应酬的
bonding,"n.键合；人与人之间的关系（或联结）；原子的结合
v.“bond”的现在分词"
fell,"adj.邪恶的；残暴的
v.砍伐（树木）；打倒（某人）
n.（英格兰北部的）小山"
stab,"n.刺；戳；捅；刺（或戳、捅）的伤口
v.捅；（用手指或尖物）戳
adj.周薪制"
kinda,na.〈口〉同“kind of”
nintendo,n.〈外〉任天堂
rolling,"n.轧；滚动；旋转；横摇
adj.起伏的；规则的；周而复始的
v.“roll”的现在分词"
reservation,n.预订；预约；保留意见；疑惑
badass,adj.粗野蛮横的
pizzas,n.比萨饼；披萨；意大利薄饼
friends,"n.朋友；随从；〈英〉下议院议员间的称呼；〈英〉法院律师间的称呼
v.〈诗〉与…为友"
network,"n.网络；关系网；人际网；广播网
v.联播；将…连接成网络；建立工作关系"
land,"n.土地；陆地；大地；地产
v.降落；着陆；登陆；靠岸"
apology,n.道歉；辩护；辩解；赔不是
agh,web.匹兹堡艾勒翰尼综合医院(Allegheny General Hospital)；赫尔辛堡机场；沉默乐园七号
carmox,
together,"adv.一起；在一起；共同；同时
adj.自信而妥实的"
memories,n.回忆；记忆力；【计】存储器；【计】内存
fresh,"adj.新鲜的；新产的；刚摘的；新近的
n.(一天,一年等的)开始；(河流的)暴涨；(流入咸水中的)淡水流
adv.刚"
having,"n.所有；财产
v.“have”的现在分词"
once,"adv.一次；曾经；仅一次；根本
conj.一旦；一…就；当…时候
n.一次
adj.从前的"
code,"n.代码；密码；法典；法规
v.编码；编程序；为…编码；把…译成密码"
forget,v.忘记；遗忘；忘记做（或带、买等）；不再想
global,adj.全球的；全球性的；有关全球大局的；全面的
results,"n.结果；成绩；【体】比分；【数】计算的结果
v.导致；由…而造成[产生]"
eschewed,v.【语】避开；戒绝
steve,n.史蒂夫；【男名】男子名
hating,"v.恨；〈口〉不愿；嫌
n.怨恨；嫌恶"
rhonda,n.【女名】女子名
vacuous,adj.空洞的；空洞无物的
young,"n.青年人；幼崽；幼兽；幼鸟
adj.幼小的；未成熟的；年轻的；岁数不大的"
charge,"n.收费；主管；指控；掌管
v.收费；充电；冲锋；指责"
saw,"n.锯；谚语；格言
v.锯；拉锯似地来回移动（某物）"
expatriated,"v.移居国外；把…逐出国外；放弃国籍
adj.被逐出国外的
n.被逐出国外的人"
under,"prep.根据；不足；小于；在（或到、通过）…下面
adv.小于；在下面；在水下；少于
adj.较低的；下面的"
far,"adv.远；远远；大大；久
adj.较远的；远端的；远方的；遥远的"
selfies,web.自拍照
every,"adj.每；所有的；一切可能的；无论哪个…都
adv.每个；每隔；所有可能的；完全可能的"
ghostbusters,web.捉鬼敢死队；魔鬼克星；捉鬼特工队
anonymous,adj.不知姓名的；名字不公开的；匿名的；不具名的
yourselves,pron.你自己
alien,"n.外国人；外侨；外星生物
adj.格格不入；陌生的；不熟悉；外国的
v.〈诗〉疏远；离间；【法】(所有权的)让渡"
school,"n.上学；学院；学派；大学
v.教育；训练；使学会；培养"
clouds,"n.云；(显出疑惑,不满,悲哀等的)阴郁脸色；遮暗物；(水晶等的)雾斑
v.损伤(友谊)；使变黑暗；在(心)上投下苦恼的[忧愁的]暗影"
level,"n.水平；级别；层次；程度
v.对准；使平坦；使平整；夷平（建筑物或树林）
adj.平的；平坦的；等高的；地位相同的
adv.准确；平坦地；和…成水平；势均力敌地"
die,"v.死；死亡；消失；消亡
n.模具；冲模；压模"
tunnel,"n.地下通道；地道；隧道；（动物的）洞穴通道
v.开凿隧道；挖地道"
rence,web.一阶差分
independence,n.独立；独立性；自恃心；独立不羁的精神
team,"n.班；（游戏或运动的）队；（同拉一辆车等的）一组牲畜
v.使互相配合；使协作；使合作"
nine,"n.九岁；九点钟；棒球队；九点(的牌)
num.九"
ceasefire,n.（通常指永久性的）停火
clothes,"n.衣服；服装
v.“clothe”的第三人称单数"
force,"n.力；力量；武力；部队
v.强迫；用力；使发生（尤指趁他人尚未准备）；强作笑颜"
sociopathic,web.反社会的；不爱社交的；反社会人格
rate,"n.率；速度；比率；价格
v.评价；评估；估价；值得"
perspective,"n.观点；远景；景观；透视法
adj.(按照)透视画法的；透视的"
picked,"adj.最好的；摘收的；(用锄,镐等)挖掘过的；尖的
v.“pick”的过去分词和过去式"
stole,"n.女用披肩；（司祭佩戴的）圣带
v.“steal”的过去式"
panda,n.大熊猫；猫熊
christ,"n.基督；耶稣基督
int.（很多人认为含冒犯意，表示生气、恼火或吃惊）天哪"
wreck,"v.破坏；毁掉；毁坏；毁灭
n.沉船；严重损毁的船；（事故中）遭严重毁坏的汽车（或飞机等）"
section,"n.节；部分；段；科
v.切开；切断；做（动物或植物组织的）切片"
orchestra,n.管弦乐队；（剧场的）正厅前排座位
fingers,"n.手指；指状物；(手套的)指部；(钟表的)指针
v.指责；监视；指出；接受(贿赂等)"
sweaty,adj.满是汗的；汗津津的；汗水湿透的；热得让人出汗的
waiting,"n.等待；等候；当侍者；当服务员
v.“wait”的现在分词"
version,n.描述；变体；变种；型式
goes,"v.去；走；流逝；过去
linkv.变为
n.（游戏或活动中）轮到的机会；一番努力；精力；活力
adj.运行良好的；可以开始的；【宇】可随时发射的
abbr.(=General Orders)【军】一般命令；卫兵守则
int.(赛跑口令)跑"
crossed,"adj.十字的；交叉的；划线的(支票)；注销的
v.“cross”的过去分词和过去式"
learned,"adj.有学问的；知识渊博的；博学的；（为）学者的
v.“learn”的过去式和过去分词"
vamos,web.加油；伏摩司；瓦莫斯牌手表
body,"n.身体；物体；尸体；躯体
v.体现；实现；刻划；使呈现于心中"
kicked,"n.踢；〈口〉(酒等的)刺激；极度的兴奋[快感]；撤职
v.踢；(足球)踢球(得分)；申斥；解雇"
chose,"n.【法】物
v.“choose”的过去式"
leg,"n.腿；裤腿；（尤指供食用的）动物的腿；（桌椅等的）腿
v.〈口〉走；跑；卖力；用腿抵住运河隧洞壁推船通过"
shouldn,
slow,"adj.缓慢的；迟缓的；耗时的；慢速的
adv.慢速地；缓慢地
v.减缓"
china,n.【国】中国；瓷器；瓷制品
address,"n.地址；住址；演说；称呼
v.演说；处理；演讲；对付"
along,"prep.沿着；顺着；靠着…边；沿着…的某处（或旁边）
adv.一起；向前；越来越（好）"
strong,"n.斯特朗
adj.强壮的；强健的；强的；强劲的
adv.坚强地"
elaborate,"v.精心制作；详尽阐述；详细描述；详细制订
adj.复杂的；详尽的；精心制作的"
settles,"v.解决；了结；安居；结算
n.高背长靠椅"
proud,"adj.骄傲的；自豪的；得意的；满足的
adv.〈口〉同“proudly. do one proud”"
credit,"n.信用；信贷；功劳；声望
v.信用"
amount,"n.数量；金额；数额
v.等于；总计；成为"
minecraft,n.水雷艇
honor,"n.荣誉；荣幸；尊敬；名誉
v.尊敬；尊重；接受；给与…的光荣"
grandkids,
named,"adj.被指名的
v.“name”的过去式和过去分词"
stubborn,adj.固执的；执拗的；顽固的；倔强的
presidents,n.总统；校长；总裁；主席
prefer,v.较喜欢；喜欢…多于…
replace,v.取代；代替；更换；更新
oval,"n.椭圆形；卵形；澳大利亚式橄榄球球场
adj.椭圆形的；卵形的"
cocaine,n.可卡因；古柯碱
crisis,n.危机；危急关头；危难时刻；病危期
everybody,pron.人人
prove,"v.证明；证实；展现；显示（自己）是
linkv.后来被发现是；最终显现为"
sake,n.日本清酒
illegal,"n.非法劳工；非法移民
adj.不合法的；非法的；违法的"
wiped,"v.擦；擦去；把(信用卡等)在电脑终端上一擦；暗杀
n.擦；手绢儿；同“wiper”；〈比喻〉拒绝"
contains,v.包含；能容纳；【军】牵制；遏制
asses,n.臀部；蠢驴；野驴；表示催促
recommend,v.建议；推荐；介绍；劝告
strike,"v.罢工；击；攻击；打
n.罢工；打击；袭击；罢课"
themselves,pron.他们自己；它们自己；她们自己
israel,n.以色列；以色列人；以色列国；【国】以色列
brazilians,"adj.巴西的；巴西人的
n.巴西人"
th,web.钍(Thorium)；酪氨酸羟化酶(tyrosine hydroxylase)；甲状腺激素(thyroid hormone)
claus,web.克劳斯；克劳斯工艺；圣诞老人姓尼古拉斯
wars,"n.战争；斗争；敌意；武器
v.打仗；斗争；〈英〉击败
adj.〈英〉同“worse”；军事的"
aware,adj.意识到；知道；明白；发现
basically,adv.基本上；大体上；〈口〉主要地
olive,"n.橄榄；油橄榄；橄榄绿；齐墩果
adj.橄榄绿的；黄褐色的；淡褐色的"
casualties,n.事故；【军】伤亡(人数)；损坏；死伤(者)
glad,adj.高兴；乐意；愿意；愉快
eventuality,n.可能出现的结果
none,"adj.没有
pron.没有一个；毫无
adv.不怎么；绝无
n.“nones 2”的单数"
word,"n.词；单词；字；消息
v.措辞；用词
int.说得对"
room,"n.房间；室；空间；客房
v.租房；合住"
hour,n.小时；整点；约一小时的时间；（工作、办公等的）固定时间
mm,"abbr.毫米
n.毫米
int.嗯；唔；表示食物非常好吃时发出的声音"
recall,"v.召回；回忆起；回想起；记起
n.记忆力；记性；召回令；回归请求"
sucks,"v.吮吸；吸进；吸收(水分,知识等)
n.咂；吃奶；卷入；一杯"
anywhere,adv.（用于否定句和疑问句，代替 somewhere）在任何地方
obvious,adj.明显的；显然的；易理解的；公认的
mr,na.…先生
knocked,"v.撞；敲；撞倒；打
n.敲；(狠狠)一击；敲门(声)；回合"
control,"n.控制权；控制（或操纵）能力；限制；限定
v.指挥；控制；掌管；支配"
spy,"n.间谍；密探
v.发现；从事间谍活动；搜集情报；突然看见"
crazy,"n.〈非正式〉疯子
adj.(发)疯的；神经病的；疯癫的；不理智的"
figure,"n.图形；人物；身材；体形
v.认为；是重要部分；是…的部分；计算（数量或成本）"
escaped,"adj.逃跑了的
v.“escape”的过去分词和过去式"
allowed,v.允许；容许；承认；承认(某事)
offense,n.（球队的）前锋；进攻方法；攻势
times,"n.（用于比较）倍
prep.乘以
v.“time”的第三人称单数"
reliving,v.复活；(尤指凭想像)使再现
species,n.种
guarantee,"v.保证；保障；担保；确保
n.保证；担保；抵押品；保证金"
teleport,v.（通常见于科幻作品）（被）远距离传送
lame,"adj.瘸的；跛的；站不住脚的；无说服力的
n.(金属)薄板；(古代护身甲上的)重叠金属片
v.使残废；跛行"
rather,"adv.而是；稍微；（常用于表示轻微的批评、失望或惊讶）相当；更准确地说
int.表示同意某人的提议"
afterlife,n.阴世；死后（灵魂的）生活
travel,"v.旅行；旅游；传播；流传
n.旅行；泛指出行；游历；尤指一系列的经常性出行"
six,"num.六
n.〈英〉六便士；六先令；六点的纸牌；(骰子的)六点"
fratty,
dismissed,v.解雇；打发走；开除(学生等)；放弃(企图等)
lounge,"n.休息室；酒吧；闲逛；躺椅
v.闲逛；懒洋洋地靠[躺]；吊儿郎当地混日子"
very,"adv.非常；十足；完全同样；完全同一
adj.同一的；（强调极限的地点或时间）最…的；甚至于
n.维利"
instead,adv.代替；反而；顶替；却
tripling,"adj.三倍的；三部分的；【法】三者间的
n.三倍的数[量]；三个一组；【棒】三垒安打
v.增至三倍"
staying,"v.停留；逗留；持久；保持下去
n.停留；遏制；妨碍；延缓"
express,"v.表达；表示；表露；代表
adj.特快的；快速的；快递的；用快递寄送的
n.特快列车；快件服务；快递服务；快运服务
adv.使用快速服务"
gargantuans,web.恐甲兽；可以徵召巨兽；可以征召巨兽
clone,"v.克隆；以无性繁殖技术复制
n.克隆动物（或植物）；无性繁殖动物（或植物）；复制动物（或植物）"
gagoo,
fart,"n.放屁；（尤指）放响屁；讨厌的人；令人厌烦的人
v.放屁；（尤指）放响屁"
adventure,"n.冒险；奇遇；经历；冒险游戏
v.探险；以…冒险；大胆进行；闯"
date,"n.日期；约会；日子；年代
v.过时；注明日期；写上日期；确定年代"
invasion,n.侵犯；侵略；干预；武装入侵
authentic,adj.真正的；真品的；真迹的；真实的
realized,v.〈正式〉实现；意识到；领悟；认识到
poseidon,n.波塞顿；海神式导弹
third,"num.第三；三分之一(的)
ordnumber.第三
n.三分之一；三等学位（英国大学中低于平均水平的学位）
adv.坐三等车(舱)"
lines,"n. 线；台词；航线（line的复数）
v. 排成一行；画线于（line的三单形式）
n. (Lines)人名；(英)莱恩斯"
element,n.要素；原理；【数】元；【军】小队
switch,"v.交换；转换；转变；掉换
n.道岔；转变；闸；（细软）枝条"
order,"n.顺序；命令；勋章；规则
v.命令；整理；定货；下令"
typical,adj.典型的；有代表性的；一贯的；平常的
infested,"v.(指老鼠,害虫,盗贼等)大批出没；在…上寄生"
words,"n.单词；话；歌词；诺言
v.说"
office,n.办公室；处；办事处；公司
cheese,"n.奶酪；干酪；“茄子”（要求照相的人说的口形词）
v.〈俚〉停止"
soon,"adv.很快；不久；马上；早
n.【女名】女子名"
including,"prep.包括
v.include的现在分词形式"
committed,"adj.忠诚的
v.commit的过去式和过去分词"
milwaukee,n.密尔沃基
its,"pron.其
short.it is；it has
adv.（指事物、动物或婴儿）它的"
roots,"n.根源；根茎；基础；块根
v.(使)生根；(使)固定；(使)固着；〈比喻〉深深种下
adj.根的；根本的"
eum,web.终端用户监控器(End User Monitor)；音吟饮阴淫；粜
pubes,n.耻骨区
la,"abbr.(=lanthanum)【化】
int.〈古,方〉啊呀
n.【乐】长音阶全音阶的第六音"
actually,adv.事实上；竟然；（礼貌地纠正他人）实际上
hanky,n.〈口〉手帕
permanent,"adj.永久性；一直；坚持；不变的
n.恒齿；永久齿；电烫发；积和式"
choose,v.选择；选取；挑选；决定
mckinley,n.麦金利；【男名】男子名
covered,"adj.盖满；盖着一层；有顶的
v.“cover”的过去式和过去分词"
texas,n.【地】得克萨斯州(美国西南部的一州)
instantly,"adv.立即；立刻；马上
conj.一…就"
wouldn,
return,"n.返回；回报；回来；收益
v.返回；回报；回来；恢复"
volcano,n.火山
break,"n.中断；休息；破裂；机会
v.中断；破坏；碎；打断"
kiss,"n.吻
v.亲吻；接吻；轻拂；轻触"
half,"n.一半；（比赛、音乐会等的）半场；（啤酒等饮料的）半品脱
adv.半；半数；绝大部分（时间、乐趣、麻烦等）；到一半程度
adj.一半的；一部分的；不完全的"
foot,"n.足；底部；有…脚（或足的）；有…只脚（的）
v.步行；付(款)；在…上走；跳(舞)"
hunted,"adj.惴惴不安的；惊恐万分的
v.“hunt”的过去分词和过去式"
servant,n.仆人；用人；（公司或机构的）雇员；奴仆般受制（或献身）于…的人
jiggling,"n.〈美〉轻轻的摇晃[跳动]
v.(使)轻轻摇晃[跳动]"
accompanying,v.伴；伴奏；陪衬；给…伴奏
arrested,"v.逮捕了
adj.停滞的；被捕的"
truth,n.真理；事实；真实；真实性
found,"v.建立；创建；铸造；把…基于
adj.(文艺作品等)找到的；已包括在价款[租金等]之内的
n.不另外收费的供应品[服务等]"
went,v.“go”的过去式；〈古〉“wend”的过去式
hermit,n.隐士；隐修者；遁世者
signing,"n.签署；签字；签约受雇者；签约聘用
v.“sign”的现在分词"
pirates,"n.海盗；海盗船；侵害版权者；盗印者
v.掠夺；盗印；翻印"
hopefully,adv.有希望地；可以指望；抱有希望地
wasn,
idea,n.主意；想法；概念；意见
related,"adj.相关的；有联系的；属同一家族的；有亲属关系的
v.“relate”的过去式和过去分词"
yield,"n.产量；产出；利润
v.屈服；让步；放弃；提供"
impossible,"adj.不可能存在（或做到）的；不可能的；难处理的；很难对付的
n.（似乎）不可能的事"
ripple,"n.波纹；涟漪；细浪；（外观或运动）如波纹的东西
v.（使）如波浪般起伏；扩散；涌起"
ambassadors,n.大使；代表；使节；专使
happen,"v.发生；出现；向对方表示异议或不悦等
linkv.碰巧；恰好"
truman,n.杜鲁门；【男名】男子名
wander,"n.徘徊；游荡；闲逛；溜达
v.漫游；游荡；闲逛；走神"
special,"n.特别节目；特制品；特价(处理)
adj.不寻常的；特定的；特别的；很重要的"
ricks,"n.〈英〉禾堆；堆成草堆；【男名】男子名
v.〈英〉同“wrick”"
clandestine,adj.暗中从事的；保密的；秘密的
since,"conj.因为；由于；既然；从…以后
adv.此后；后来；自…以后；从…以来
prep.自…以后；从…以来；（表示气愤）何曾"
seriously,adv.认真地；严重地；严肃地；（用于句首，表示转为谈正事）说正经的
health,n.健康；卫生；保健；医疗
hooker,n.（橄榄球并列争球时的）钩球队员；卖淫者；妓女
utility,"n.公用事业；实用；效用；有用
adj.多用途的；多效用的；多功能的"
cause,"n.原因；事业；病因；理由
v.导致；使；引起；产生"
announced,v.宣布；通告；预告；唱名报(客等)
pun,"n.双关语
v.使用双关语"
monster,"n.怪物；恶魔；庞然大物；畸形
adj.巨大的；(建筑物)巍峨的"
cars,n.汽车；轿车；车厢；吊厢
reason,"n.原因；理由；理性；道理
v.推理；思考；推断；推论"
curable,adj.可医治的；可治愈的
besides,"adv.此外；而且；再说；以及
prep.除…之外（还）"
craving,"n.渴望；热望；强烈的愿望
v.“crave”的现在分词"
drowning,v.淹死；淹没；使湿透；消(愁)
couldn,
swelling,"n.膨胀；肿胀；肿胀处；浮肿处
v.“swell”的现在分词"
honest,adj.诚实的；正直的；努力(工作)的
american,"n.美国人；美洲人；美国英语；美洲印第安人
adj.美洲的；美国的"
isn,web.网络(International Student Network)；国际肾脏病学会(International Society of Nephrology)；序列号
threat,"n.威胁；恐吓；凶兆；不详之兆
v.〈古,方〉同“threaten”"
swing,"n.摆动；挥动；转动；强劲节奏
v.摇荡；纵身跃向；荡向；悬吊到
adj.摇摆乐的；悬挂的；(门等)可绕轴心旋转的；(在选举中)举足轻重的"
timelines,n.时间表；大事年表
south,"n.南；南方；南部；美国南方各州
adv.向南；朝南；…以南；在…之南
adj.南方的；向南的；南部的；南风的
v.【天】(天体)向南走；过南北线；转向南方"
mad,adj.狂；(狗等)患狂犬病的；凶猛的；糊涂的
sanchez,web.桑切斯；桑切兹；桑显士
ability,n.能力；能够；才能；能干
already,adv.已经；到现在还；这么早就；用于描述一个已经存在的糟糕情况时
dunce,n.愚笨的人；（尤指）迟钝的学生
enlarges,v.扩大；增大；【摄】放大；扩展
relate,v.联系；讲述；叙述；使有联系
knocking,"v.敲；撞；撞倒；去掉
n.敲；(狠狠)一击；敲门(声)；局"
jesus,na.耶稣基督
yello,web.黄色；黄光；涟漪轩
notify,v.通知
president,n.总统；总裁；主席；总经理
says,"v.说；显示；告诉；讲
int.啧啧；我说
n.决定权；发言权"
sounds,"n.声音；发音；音响；噪音
v.发音；响；宣告；鸣响
adj.正确的；合法的；见解正确的；合逻辑的
adv.充分地"
open,"v.打开；开放；开启；张开
adj.开放；营业；坦诚；开放的
n.公开；户外；野外；旷野"
service,"n.服务；使用；维修；发球
v.维修；维护；检修；保养
adj.服务性的；为提供后勤[资料等]服务的；武装部队的；服现役用的"
ordering,"v.命令；购；调整；命令去…
n.次序；排列；组合"
divorce,"n.离婚；分离；脱离
v.与（某人）离婚；判（某人）离婚；使分离；使脱离"
wrapper,n.包装纸；（腰际和腿部的）围裹式服装
needed,"n.需要；需求；需用的东西；缺乏
v.需要；生活贫困
auxv.必须；She need not go. 这句话"
returns,"v.返回；恢复；归还；报告
n.回归；利润；报酬；申报"
terrifying,adj.可怕的；令人害怕的
palestine,n.巴勒斯坦；【圣】圣地
americanos,web.美式咖啡；美国佬；美式甜蜜
twister,n.旋风；龙卷风
painful,adj.令人疼痛的；令人痛苦（或难过、难堪）的；不愉快的；困难的
beard,"n.须；络腮胡子
v.使有胡须[颌毛,芒刺]；抓[捋]住…的胡子；拔…的胡子"
mining,"n.采矿；采矿业
adj.开矿的
v.“mine”的现在分词"
enhancing,v.提高；增强；夸张；宣扬
cope,"v.处理
n.大圆衣"
happily,adv.高兴地；快乐地；欣然；幸运地
season,"n.季节；旺季；雨季；（一部戏剧在一地的）演出期
v.加调料调味；加作料"
nobody,"n.小人物；无足轻重的人
pron.没人；无人"
park,"n.公园；园区；运动场；专用区
v.停（车）；泊（车）；（在某处）坐下（或站着）；把…搁置"
alan,n.阿伦；【男名】男子名
believe,v.相信；认定；认为真实；把（某事）当真
convinced,"adj.确信；深信；坚信；坚信不移的
v.“convince”的过去分词和过去式"
white,"adj.白的；白色的；白种人的；白人的
n.白色；雪白；乳白；白种人"
loved,"n.爱；爱人；爱情；(两性间的)恋爱
v.爱；爱戴；爱好 (to do)；(两性间)爱慕"
legs,"n.腿；裤腿；（尤指供食用的）动物的腿；（桌椅等的）腿
v.〈口〉走；跑；卖力；用腿抵住运河隧洞壁推船通过"
showed,"v.展示；表明；带；表示
n.演出；表现；展览会；样子"
tommy,n.英国兵
matter,"n.问题；事情；材料；事态
v.要紧；事关紧要；有重大影响"
supposed,"adj.误以为的；误信的；所谓的
v.“suppose”的过去式和过去分词"
loves,"n.爱；爱情；爱好；爱人
v.爱；爱戴；有…的倾向 (to do) 〔口语〕欢喜；(两性间)爱慕"
spoiled,"v.破坏；宠坏；溺爱；变质
n.战利品；赃物；掠夺物；成功所带来的好处"
cards,"n.纸牌；名片；明信片；卡片(纸)
v.刷；在…上附加卡片；把…制成卡片；〈美〉拟订(拳赛节目等)"
country,"n.国家；乡村；乡下；国民
adj.祖国的；家乡的；地方的；粗鲁的"
powers,"n.权力；力量；大国；能力
v.〈美〉给…装发动机；用动力发动"
hologram,n.全息图
lowest,"adv.低；低矮；在低处；往下地；低；低矮；在低处；往下地；低；低矮；在低处；往下地
adj.低沉的；低垂的；西斜的；耷拉着；低沉的；低垂的；西斜的；耷拉着；低沉的；低垂的；西斜的；耷拉着
n.(汽车等的)低速；低速齿轮；哞；低气压区；(汽车等的)低速；低速齿轮；哞；低气压区；低地；(汽车等的)低速；低速齿轮；哞
v.(牛)哞哞地叫；(牛叫似地)说；(牛)哞哞地叫；(牛叫似地)说；(牛)哞哞地叫；(牛叫似地)说"
rad,"adj.非常棒的；精彩的
n.拉德（辐射吸收剂量单位）"
cabin,"v.把…关在小屋内；使受拘束；隔开(房间)；住在小屋内
n.（轮船上生活或睡觉的）隔间；（飞机的）座舱；（通常为木制的）小屋"
sac,"n.气囊
abbr.〈美(=Strategic Air Command)战略空军司令部"
appreciate,v.欣赏；感谢；感激；升值
mine,"n.矿；矿井；地雷；水雷
v.采矿；布雷；埋雷于；用雷炸毁（车辆）
pron.我的；我的家"
apparently,adv.显然；可见；看来
orders,"n.命令；顺序；指挥；汇票
v.命令；吩咐；定货；安排"
coliseum,"n.体育馆；体育场；【建,旅】古罗马斗兽场"
self,"n.自我；本人；本来面目；个性
adj.纯净的；一样的；单一的；(颜色等)同一的
v.使近亲繁殖；使同种繁殖；【植】使自花受精；【植】自花受精"
ideas,n.思想；意见；主意；念头
recognizing,v.认识；承认；认清；确认
ahold,adv.逆风航行
hookah,n.水烟袋；水烟筒
interior,"n.内部；内陆；内地；里面
adj.内部的；里面的"
many,"adj.多
adv.大量
n.多数人[东西]；大多数人；【女名】女子名
pron.许多人[物]"
brand,"n.品牌；类型；烙印（尤指农场牲畜身上表示所属的印记）
v.（尤指不公正地）丑化（某人）；给（牲畜）打烙印"
tunnels,"n.隧道；地道；地下通道；（动物的）洞穴通道；隧道；地道；坑道；风洞；隧道；地道；坑道；烟道
v.在…凿隧道[掘坑道]；凿隧道通过；运过坑道  进隧道；在…凿隧道[掘坑道]；凿隧道通过；运过坑道  进隧道；开凿隧道；挖地道"
flattered,v.“flatter”的过去式和过去分词
play,"v.演奏；播放；扮演；游戏
n.游戏；玩耍；比赛；作用"
